Company Name,Industry,Symbol,Series,ISIN Code
Aastha Spintex Ltd.,Textiles,AASTHA,EQ,INE2FMX01012
Aditya Infotech Ltd.,Capital Goods,CPPLUS,EQ,INE819V01029
Advance Agrolife Ltd.,Chemicals,ADVANCE,EQ,INE1B0W01010
Advit Jewels Ltd.,Consumer Durables,RAMBHAJO,EQ,INE1SJO01012
Aequs Ltd.,Capital Goods,AEQUS,EQ,INE947N01017
All Time Plastics Ltd.,Consumer Durables,ALLTIME,EQ,INE0GV601021
Alpine Texworld Ltd.,Textiles,ALPINETEX,EQ,INE1JCQ01037
Amagi Media Labs Ltd.,Information Technology,AMAGI,EQ,INE121R01077
Amir Chand Jagdish Kumar (Exports) Ltd.,Fast Moving Consumer Goods,AEROPLANE,EQ,INE05TO01019
Anand Rathi Share and Stock Brokers Ltd.,Financial Services,ARSSBL,EQ,INE549H01021
Anlon Healthcare Ltd.,Healthcare,AHCL,EQ,INE0Y8W01025
Annu Projects Ltd.,Construction,ANNU,EQ,INE103001017
Anthem Biosciences Ltd.,Healthcare,ANTHEM,EQ,INE0CZ201020
Ardee Industries Ltd.,Metals & Mining,ARDEE,EQ,INE0XNF01022
Asset Reconstruction Company (India) Ltd.,Financial Services,ARCIL,EQ,INE148G01016
Atlanta Electricals Ltd.,Capital Goods,ATLANTAELE,EQ,INE0Z4F01028
Augmont Enterprises Ltd.,Metals & Mining,AUGMONT,EQ,INE16W401027
Aye Finance Ltd.,Financial Services,AYE,EQ,INE501X01029
BMW Ventures Ltd.,Metals & Mining,BMWVENTLTD,EQ,INE965W01036
Behari Lal Engineering Ltd.,Capital Goods,BLEL,EQ,INE1EEM01017
Bharat Coking Coal Ltd.,Oil Gas & Consumable Fuels,BHARATCOAL,EQ,INE05XR01022
Billionbrains Garage Ventures Ltd.,Financial Services,GROWW,EQ,INE0HOQ01053
BlueStone Jewellery and Lifestyle Ltd.,Consumer Durables,BLUESTONE,EQ,INE304W01038
Brigade Hotel Ventures Ltd.,Consumer Services,BRIGHOTEL,EQ,INE03NU01014
CMR Green Technologies Ltd.,Capital Goods,CMRGREEN,EQ,INE00WV01027
CORONA Remedies Ltd.,Healthcare,CORONA,EQ,INE02ZQ01018
CSM Technologies Ltd.,Information Technology,CSM,EQ,INE0ZK601013
Caliber Mining and Logistics Ltd.,Oil Gas & Consumable Fuels,CMLL,EQ,INE11XY01018
Canara HSBC Life Insurance Company Ltd.,Financial Services,CANHLIFE,EQ,INE01TY01017
Canara Robeco Asset Management Company Ltd.,Financial Services,CRAMC,EQ,INE218I01013
Capillary Technologies India Ltd.,Information Technology,CAPILLARY,EQ,INE0ILV01024
Central Mine Planning & Design Institute Ltd.,Services,CMPDI,EQ,INE05HV01027
Clean Max Enviro Energy Solutions Ltd.,Power,CLEANMAX,EQ,INE647U01026
Crizac Ltd.,Consumer Services,CRIZAC,EQ,INE0S4R01014
Deepa Jewellers Ltd.,Consumer Durables,DEEPA,EQ,INE1M2N01020
Dhoot Transmission Ltd.,Automobile and Auto Components,DHOOTTRANS,EQ,INE01NH01023
